天花	 為一種由天花病毒（variola virus）所引起之急性傳染病，可以對人類造成不同程度的危害，其致死率自1％至30％不等，死亡情形常發生在發病後1或2週內，且無有效之治療方法。此疾病最早於第4世紀於中國及印度發現，16世紀時曾肆虐全球造成350多萬人死亡，於1970年以前，全球每年感染人數超過1500萬人以上，其中至少200萬人死亡。因此，世界衛生組織（WHO）計畫根除天花，並於1980年正式宣佈天花病毒自地球上完全根除，且不會再自然發生，並建議所有國家停止牛痘疫苗的接種。天花病毒根除計畫的成功可歸功於：策略性的疾病監測調查系統的建置、確實隔離任何可能的個案及對接觸者的痘苗接種等三大策略，而天花病毒亦成為第一個人類從自然界根除的病毒。 
嚴重急性呼吸道症候群	 SARS是由SARS病毒所引起的疾病，為2003年新發現的一種冠狀病毒，2003年4月16日世界衛生組織正式將其命名為「SARS病毒」。SARS病毒因為是新病毒，所以大眾皆無抗體，其傳播力、毒力、致病力均比一般的呼吸道病毒強，病患可能會發生肺纖維化，甚至引發呼吸衰竭而導致死亡。世界衛生組織於2003年3月15日公布「嚴重急性呼吸道症候群」名稱，在這之前稱非典型肺炎。感染特點為發生瀰漫性肺炎及呼吸衰竭，因較過去所知病毒、細菌引起的非典型肺炎嚴重，因此命名為嚴重急性呼吸道症候群(severe acute respiratory syndrome, SARS)。根據世界衛生組織統計資料，2002年11月1日至2003年7月31日間，全球共發現8,096例SARS可能病例，其中774例死亡，主要集中於中國、香港、臺灣、加拿大及新加坡等國家。 
鼠疫	 存在囓齒類及其跳蚤的一種人畜共通傳染病，並藉跳蚤傳染給各種動物及人類，其最初反應為跳蚤咬傷部位附近的淋巴腺發炎，這就是腺鼠疫，經常發生於鼠蹊部、腋下或頸部，受感染的淋巴腺發炎、紅腫、壓痛且可能流膿，通常會有發燒現象。所有的鼠疫，包括淋巴腺病不明顯的病例，皆可引起敗血性鼠疫，經由血液感染身體各部位，包括腦膜。肺的次發性感染可造成肺炎、縱膈炎或引起胸膜滲液。次發性肺鼠疫在疫情的控制上特別重要，因為其痰之飛沫傳染是原發性肺鼠疫及咽鼠疫之來源。更進一步的人與人之間傳染可造成局部地區的爆發或毀滅性的大流行。鼠疫如未經治療其致死率為30～60％，很少出現短期而局部的感染（輕微鼠疫）。 
狂犬病	 狂犬病由狂犬病病毒引起的一種急性病毒性腦脊髓炎，一旦發病後，致死率幾乎達100％，但如能在動物咬傷後，及時就醫，接受狂犬病暴露後預防接種，可以有效的降低發病的風險。狂犬病是全球性的疾病，全世界都有病例，主要發生於非洲、亞洲、拉丁美洲及中東等地區，根據世界衛生組織估計：每年約有55,000死亡病例，其中亞洲約占31,000例死亡，非洲約占24,000例死亡，其中30～50％是幼童。臺灣自1959年起不再有人的病例，2002年及2012年各發生一例自中國大陸境外移入病例，2013年發生一例自菲律賓境外移入病例。1961年後不再有動物病例，但行政院農業委員會於2013年公布國內野生鼬獾、錢鼠與幼犬檢出狂犬病毒，並將檢出狂犬病陽性動物之鄉鎮市區(狂犬病陽性動物分佈圖)與其他鄉鎮，列為狂犬病風險地區(陽性鼬獾分布鄉鎮)。疑似狂犬病暴露後免疫球蛋白與疫苗接種對象人用狂犬病疫苗接種服務醫院全臺儲備HRIG之人用狂犬病疫苗接種服務醫院疑似狂犬病動物咬傷傷口處理等實務 
登革熱	 登革熱（Dengue fever），是一種由登革病毒所引起的急性傳染病，這種病毒會經由蚊子傳播給人類。並且依據不同的血清型病毒，分為Ⅰ、Ⅱ、Ⅲ、Ⅳ四種型別，而每一型都具有能感染致病的能力。患者感染到某一型的登革病毒，就會對那一型的病毒具有終身免疫，但是對於其他型別的登革病毒僅具有短暫的免疫力，還是有可能再感染其他血清型別病毒。臨床上重複感染不同型登革病毒，可引起宿主不同程度的反應，從輕微或不明顯的症狀，到發燒、出疹的典型登革熱，或出現嗜睡、躁動不安、肝臟腫大等警示徵象，甚至可能導致嚴重出血或嚴重器官損傷的登革熱重症。全球登革熱的好發地區，主要集中在熱帶、亞熱帶等有埃及斑蚊和白線斑蚊分布的國家，隨著全球化發展逐漸便利，各國之間相互流通及往返也趨於頻繁，自1980年代之後，登革熱也開始向各國蔓延，成為嚴重的公共衛生問題。臺灣位於亞熱帶地區，像這樣有點熱、又有點溼的環境，正是蚊子最喜歡的生長環境，為登革熱流行高風險地區。 
德國麻疹	 德國麻疹，又稱為「風疹」，是一種急性病毒高傳染疾病，會出現輕度發燒、疲倦、鼻咽炎、耳後淋巴結明顯腫大，並伴隨全身性不規則丘疹（與麻疹或猩紅熱發疹相似），疹子約維持3天，病徵溫和。而如果孕婦感染德國麻疹，該病毒可以透過胎盤垂直傳染給胎兒，可能會造成死產、自然流產或胎兒主要器官受損，如先天性耳聾、青光眼、白內障、小腦症、智能不足及先天性心臟病等缺陷，統稱為先天性德國麻疹症候群。感染德國麻疹病毒者約有一半（25％～50％受感染者）並無明顯的發疹，有部分受感染的人會關節痛或發生關節炎，尤其是成年女性。德國麻疹是由德國麻疹病毒（Rubella virus）經呼吸道感染所引起，而德國麻疹病毒是一種RNA病毒，只有一種血清型。國內曾於1958-1959年、1968年及1977年間發生三次大流行，之後德國麻疹在國內變成地方性傳染病，除了1992年時，發生一起10,945例報告病例之中型流行以外，不再出現全國性的德國麻疹大流行。 
霍亂	 霍亂是由產毒性O1及O139血清型霍亂弧菌所引起的急性細菌性腸道傳染病，為全球性的疾病，世界各地均有病例發生，多數發生於開發中國家，尤其在自來水不普及或環境衛生較差的地區。感染霍亂的症狀為無痛性大量米湯樣水性腹瀉、嘔吐、快速脫水等；若患者未能及時接受適當治療，有可能因嚴重脫水和休克而死亡。 
流行性斑疹傷寒	 流行性斑疹傷寒是由立克次體所引起的疾病。流行性斑疹傷寒有不同的先期徵兆，通常是突發的症狀，包括頭痛、畏寒、虛脫、發燒、肌肉酸痛和咳嗽等症狀。如果沒有適當的治療，致死率可高達10%至40%，且隨著年齡越大死亡率越高。流行性斑疹傷寒輕度的感染可能無出疹現象，特別是在小孩子，在第一次受侵襲之數年後，此病可能復發（稱為Brill-Zinsser症），此時症狀較溫和，併發症較少，不需有蝨子媒介，致死率也較低。 
白喉	 白喉是由白喉棒狀桿菌所引起的急性呼吸道傳染病。白喉主要侵犯扁桃腺、咽頭、喉頭、鼻腔，被侵犯的部位因組織壞死，病灶處形成灰白色膜，四周伴有發炎現象。一般根據感染部位的不同，分為四種白喉：咽門白喉、喉白喉、鼻白喉、皮膚白喉，臨床特徵稍有不同。 
流行性腦脊髓膜炎	 流行性腦脊髓膜炎是由腦膜炎雙球菌所引起的疾病。近年台灣以腦膜炎雙球菌B群最常見，佔所有侵襲性感染症44%，其餘為W135型(12％)、Y型(11％)、A型(1%)、C型(1％) 、未分型占30.％。流行性腦脊髓膜炎是全球性的疾病，全世界都有病例，主要流行季節在冬季及春季。目前國際流行地區，主要為撒哈拉沙漠以南橫跨非洲中部的「非洲流腦帶」地區。流行地區有高達5-10％的無症狀帶菌者以成人較常見，且於軍隊及學校等密集生活群體中，比例可能更高。 
