類別：所有類別

週,感冒: (台灣)
2014-07-06,28
2014-07-13,34
2014-07-20,27
2014-07-27,29
2014-08-03,21
2014-08-10,28
2014-08-17,25
2014-08-24,32
2014-08-31,31
2014-09-07,29
2014-09-14,35
2014-09-21,34
2014-09-28,41
2014-10-05,47
2014-10-12,51
2014-10-19,48
2014-10-26,35
2014-11-02,46
2014-11-09,48
2014-11-16,48
2014-11-23,40
2014-11-30,39
2014-12-07,51
2014-12-14,60
2014-12-21,61
2014-12-28,55
2015-01-04,63
2015-01-11,59
2015-01-18,52
2015-01-25,53
2015-02-01,54
2015-02-08,56
2015-02-15,55
2015-02-22,57
2015-03-01,50
2015-03-08,55
2015-03-15,50
2015-03-22,49
2015-03-29,42
2015-04-05,47
2015-04-12,56
2015-04-19,43
2015-04-26,44
2015-05-03,45
2015-05-10,42
2015-05-17,45
2015-05-24,38
2015-05-31,43
2015-06-07,40
2015-06-14,42
2015-06-21,40
2015-06-28,36
2015-07-05,32
2015-07-12,31
2015-07-19,30
2015-07-26,30
2015-08-02,27
2015-08-09,30
2015-08-16,29
2015-08-23,31
2015-08-30,37
2015-09-06,47
2015-09-13,44
2015-09-20,47
2015-09-27,46
2015-10-04,46
2015-10-11,63
2015-10-18,51
2015-10-25,56
2015-11-01,49
2015-11-08,53
2015-11-15,53
2015-11-22,59
2015-11-29,61
2015-12-06,60
2015-12-13,66
2015-12-20,59
2015-12-27,59
2016-01-03,59
2016-01-10,64
2016-01-17,64
2016-01-24,71
2016-01-31,82
2016-02-07,84
2016-02-14,100
2016-02-21,97
2016-02-28,88
2016-03-06,74
2016-03-13,67
2016-03-20,63
2016-03-27,71
2016-04-03,57
2016-04-10,54
2016-04-17,46
2016-04-24,46
2016-05-01,45
2016-05-08,44
2016-05-15,43
2016-05-22,40
2016-05-29,37
2016-06-05,36
2016-06-12,41
2016-06-19,35
2016-06-26,33
2016-07-03,32
2016-07-10,35
2016-07-17,36
2016-07-24,40
2016-07-31,32
2016-08-07,33
2016-08-14,32
2016-08-21,39
2016-08-28,43
2016-09-04,38
2016-09-11,37
2016-09-18,46
2016-09-25,38
2016-10-02,44
2016-10-09,51
2016-10-16,54
2016-10-23,55
2016-10-30,60
2016-11-06,60
2016-11-13,58
2016-11-20,56
2016-11-27,62
2016-12-04,61
2016-12-11,60
2016-12-18,56
2016-12-25,65
2017-01-01,60
2017-01-08,63
2017-01-15,54
2017-01-22,60
2017-01-29,61
2017-02-05,66
2017-02-12,57
2017-02-19,48
2017-02-26,56
2017-03-05,58
2017-03-12,51
2017-03-19,57
2017-03-26,59
2017-04-02,63
2017-04-09,48
2017-04-16,48
2017-04-23,54
2017-04-30,53
2017-05-07,51
2017-05-14,50
2017-05-21,50
2017-05-28,49
2017-06-04,49
2017-06-11,52
2017-06-18,57
2017-06-25,54
2017-07-02,52
2017-07-09,50
2017-07-16,48
2017-07-23,41
2017-07-30,41
2017-08-06,41
2017-08-13,38
2017-08-20,36
2017-08-27,40
2017-09-03,40
2017-09-10,47
2017-09-17,48
2017-09-24,53
2017-10-01,50
2017-10-08,51
2017-10-15,56
2017-10-22,64
2017-10-29,73
2017-11-05,61
2017-11-12,62
2017-11-19,72
2017-11-26,66
2017-12-03,72
2017-12-10,71
2017-12-17,84
2017-12-24,84
2017-12-31,90
2018-01-07,83
2018-01-14,81
2018-01-21,77
2018-01-28,75
2018-02-04,72
2018-02-11,73
2018-02-18,84
2018-02-25,81
2018-03-04,74
2018-03-11,75
2018-03-18,75
2018-03-25,69
2018-04-01,62
2018-04-08,63
2018-04-15,57
2018-04-22,54
2018-04-29,47
2018-05-06,48
2018-05-13,42
2018-05-20,43
2018-05-27,44
2018-06-03,43
2018-06-10,44
2018-06-17,38
2018-06-24,39
2018-07-01,40
2018-07-08,37
2018-07-15,42
2018-07-22,43
2018-07-29,41
2018-08-05,47
2018-08-12,49
2018-08-19,45
2018-08-26,47
2018-09-02,51
2018-09-09,53
2018-09-16,53
2018-09-23,58
2018-09-30,66
2018-10-07,62
2018-10-14,61
2018-10-21,70
2018-10-28,73
2018-11-04,57
2018-11-11,61
2018-11-18,61
2018-11-25,68
2018-12-02,71
2018-12-09,75
2018-12-16,79
2018-12-23,77
2018-12-30,82
2019-01-06,83
2019-01-13,76
2019-01-20,76
2019-01-27,82
2019-02-03,67
2019-02-10,75
2019-02-17,70
2019-02-24,69
2019-03-03,71
2019-03-10,73
2019-03-17,64
2019-03-24,63
2019-03-31,64
2019-04-07,59
2019-04-14,59
2019-04-21,49
2019-04-28,53
2019-05-05,58
2019-05-12,53
2019-05-19,56
2019-05-26,59
2019-06-02,56
2019-06-09,51
2019-06-16,53
2019-06-23,50
2019-06-30,49
